timestamp,tail,owner,airport,airport_name,leg
2024-01-03,N628TS,Elon Musk,SJU,Luis Munoz Marin International Airport,departure
2024-01-03,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2023-12-31,N628TS,Elon Musk,AUS,Austin International Airport,departure
2023-12-31,N628TS,Elon Musk,SJU,Luis Munoz Marin International Airport,arrival
2023-12-30,N628TS,Elon Musk,MMSL,Cabo San Lucas International Airport,departure
2023-12-30,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2023-12-30,N628TS,Elon Musk,AUS,Austin International Airport,departure
2023-12-30,N628TS,Elon Musk,MMSL,Cabo San Lucas International Airport,arrival
2023-12-17,N628TS,Elon Musk,CIA,Ciampino Airport,departure
2023-12-17,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2023-12-16,N628TS,Elon Musk,AUS,Austin International Airport,departure
2023-12-16,N628TS,Elon Musk,CIA,Ciampino Airport,arrival
2023-12-12,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2023-12-11,N628TS,Elon Musk,AUS,Austin International Airport,departure
2023-12-11,N628TS,Elon Musk,PVD,Theodore Francis Green State Airport,departure
2023-12-11,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2023-12-09,N628TS,Elon Musk,OPF,Opa Locka Airport,departure
2023-12-09,N628TS,Elon Musk,PVD,Theodore Francis Green State Airport,arrival
2023-12-09,N628TS,Elon Musk,AUS,Austin International Airport,departure
2023-12-09,N628TS,Elon Musk,OPF,Opa Locka Airport,arrival
2023-11-30,N628TS,Elon Musk,TEB,Teterboro Airport,departure
2023-11-30,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2023-11-29,N628TS,Elon Musk,AUS,Austin International Airport,departure
2023-11-29,N628TS,Elon Musk,TEB,Teterboro Airport,arrival
2023-11-28,N628TS,Elon Musk,SNN,Shannon Airport,departure
2023-11-28,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2023-11-27,N628TS,Elon Musk,TLV,Ben Gurion Airport,departure
2023-11-27,N628TS,Elon Musk,SNN,Shannon Airport,arrival
2023-11-27,N628TS,Elon Musk,AUS,Austin International Airport,departure
2023-11-27,N628TS,Elon Musk,TLV,Ben Gurion Airport,arrival
2023-11-19,N628TS,Elon Musk,BRO,Brownsville South Padre Island International Airport,departure
2023-11-19,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2023-11-18,N628TS,Elon Musk,AUS,Austin International Airport,departure
2023-11-18,N628TS,Elon Musk,BRO,Brownsville South Padre Island International Airport,arrival
2023-11-16,N628TS,Elon Musk,SJC,San Jose International Airport,departure
2023-11-16,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2023-11-15,N628TS,Elon Musk,AUS,Austin International Airport,departure
2023-11-15,N628TS,Elon Musk,SJC,San Jose International Airport,arrival
2023-11-04,N628TS,Elon Musk,SXF,Schonefeld Airport,departure
2023-11-04,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2023-11-03,N628TS,Elon Musk,LTN,Luton Airport,departure
2023-11-03,N628TS,Elon Musk,SXF,Schonefeld Airport,arrival
2023-10-31,N628TS,Elon Musk,AUS,Austin International Airport,departure
2023-10-31,N628TS,Elon Musk,LTN,Luton Airport,arrival
2023-10-29,N628TS,Elon Musk,LAS,McCarran International Airport,departure
2023-10-29,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2023-10-28,N628TS,Elon Musk,AUS,Austin International Airport,departure
2023-10-28,N628TS,Elon Musk,LAS,McCarran International Airport,arrival
2023-10-17,N628TS,Elon Musk,HHR,Jack Northrop Field Hawthorne Municipal Airport,departure
2023-10-17,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2023-10-16,N628TS,Elon Musk,AUS,Austin International Airport,departure
2023-10-16,N628TS,Elon Musk,HHR,Jack Northrop Field Hawthorne Municipal Airport,arrival
2023-10-01,N628TS,Elon Musk,SJC,San Jose International Airport,departure
2023-10-01,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2023-09-29,N628TS,Elon Musk,LAX,Los Angeles International Airport,departure
2023-09-29,N628TS,Elon Musk,SJC,San Jose International Airport,arrival
2023-09-29,N628TS,Elon Musk,AUS,Austin International Airport,departure
2023-09-29,N628TS,Elon Musk,LAX,Los Angeles International Airport,arrival
2023-09-28,N628TS,Elon Musk,EGP,Eagle Pass Municipal Airport,departure
